Bia HN,Bia 333,Bia Hei,Bia Viet,Bia SG,Nguoi_thu
5,1,2,4,3,1
5,3,1,4,2,2
3,4,2,5,1,3
3,2,1,4,5,4
3,5,1,2,4,5
3,4,1,2,5,6
2,3,1,5,4,7
3,1,4,5,2,8
3,5,4,1,2,9
3,1,5,2,4,10
3,4,1,2,5,11
2,5,4,3,1,12
5,4,2,3,1,13
3,4,2,1,5,14
4,3,5,1,2,15
2,5,1,4,3,16
1,5,2,4,3,17
3,5,4,2,1,18
3,1,5,4,2,19
2,4,3,5,1,20
2,5,1,4,3,21
1,3,2,5,4,22
1,3,2,4,5,23
5,2,3,4,1,24
2,3,1,5,4,25
4,2,1,5,3,26
1,5,3,2,4,27
4,3,1,2,5,28
3,1,2,4,5,29
5,1,3,4,2,30
3,1,2,5,4,31
3,2,5,1,4,32
3,4,2,1,5,33
2,4,1,3,5,34
5,2,1,4,3,35
3,1,4,5,2,36
2,4,3,5,1,37
5,3,1,2,4,38
3,2,1,5,4,39
1,2,5,4,3,40
5,4,2,3,1,41
4,3,5,2,1,42
3,4,5,2,1,43
5,3,4,1,2,44
1,4,2,5,3,45
2,4,1,5,3,46
1,4,2,5,3,47
1,2,5,3,4,48
2,5,1,3,4,49
2,1,5,4,3,50
2,5,3,1,4,51
2,1,3,5,4,52
1,3,5,4,2,53
2,4,1,5,3,54
5,2,3,4,1,55
2,5,3,1,4,56
5,3,2,1,4,57
5,1,4,3,2,58
2,4,3,1,5,59
4,5,2,3,1,60
1,2,3,4,5,61
3,5,1,2,4,62
5,4,3,2,1,63
4,3,2,1,5,64
5,4,1,3,2,65
5,4,1,2,3,66
2,3,4,5,1,67
5,1,4,3,2,68
5,2,1,4,3,69
5,1,2,3,4,70
5,2,3,4,1,71
1,4,5,2,3,72
2,5,1,4,3,73
2,3,4,1,5,74
2,3,4,1,5,75
5,3,4,1,2,76
1,2,4,5,3,77
3,1,2,4,5,78
4,3,2,5,1,79
4,3,1,2,5,80
3,2,5,4,1,81
5,2,1,4,3,82
2,3,5,4,1,83
4,2,1,5,3,84
2,5,1,3,4,85
2,3,4,5,1,86
3,2,4,1,5,87
1,3,4,5,2,88
1,3,5,2,4,89
5,4,1,2,3,90
1,4,2,3,5,91
3,5,2,1,4,92
1,2,4,5,3,93
5,3,1,2,4,94
5,4,2,1,3,95
2,1,5,4,3,96
1,5,4,2,3,97
2,1,3,4,5,98
2,1,4,5,3,99
5,1,2,3,4,100
2,1,5,4,3,101
1,3,2,4,5,102
1,2,5,3,4,103
4,3,1,2,5,104
1,3,2,5,4,105
2,1,4,5,3,106
3,2,5,1,4,107
5,4,1,3,2,108
4,2,1,3,5,109
5,4,1,3,2,110
2,3,5,4,1,111
3,5,4,1,2,112
5,2,4,1,3,113
1,5,2,3,4,114
3,4,5,1,2,115
5,1,3,2,4,116
2,3,4,1,5,117
3,2,1,5,4,118
1,4,5,2,3,119
1,3,4,5,2,120
3,4,2,1,5,121
5,1,3,2,4,122
3,5,1,4,2,123
1,3,4,2,5,124
2,4,3,5,1,125
3,2,4,5,1,126
4,1,5,3,2,127
5,2,1,4,3,128
1,3,5,4,2,129
5,2,3,4,1,130
5,1,2,4,3,131
4,3,5,1,2,132
1,5,2,3,4,133
1,2,5,3,4,134
4,2,5,3,1,135
5,2,4,1,3,136
1,4,2,3,5,137
1,5,3,2,4,138
1,4,3,2,5,139
2,4,1,5,3,140
2,5,1,4,3,141
2,5,3,1,4,142
1,2,5,4,3,143
5,1,4,3,2,144
1,2,5,4,3,145
3,2,4,1,5,146
4,1,2,5,3,147
2,5,4,1,3,148
4,1,2,5,3,149
2,5,4,1,3,150
4,1,3,5,2,151
5,2,3,1,4,152
1,2,3,5,4,153
1,2,4,3,5,154
3,5,2,1,4,155
2,5,3,4,1,156
5,1,4,3,2,157
1,2,4,5,3,158
5,2,1,3,4,159
5,2,4,1,3,160
4,5,2,3,1,161
1,2,4,5,3,162
3,5,2,4,1,163
2,3,1,5,4,164
1,2,4,3,5,165
3,5,1,2,4,166
4,2,5,3,1,167
4,2,5,3,1,168
1,3,4,2,5,169
1,2,4,3,5,170
1,3,5,2,4,171
3,2,5,4,1,172
4,2,3,1,5,173
2,4,3,5,1,174
3,2,4,1,5,175
1,4,2,3,5,176
1,4,5,3,2,177
1,5,4,2,3,178
1,4,3,5,2,179
1,5,2,3,4,180
4,3,1,5,2,181
3,1,4,2,5,182
2,3,5,4,1,183
4,2,5,3,1,184
1,3,4,2,5,185
5,1,2,3,4,186
2,5,1,4,3,187
4,2,3,1,5,188
1,4,5,2,3,189
5,3,2,1,4,190
5,2,4,3,1,191
5,2,4,1,3,192
1,5,2,3,4,193
4,5,3,1,2,194
2,3,5,4,1,195
1,5,4,3,2,196
1,3,5,2,4,197
5,3,2,4,1,198
5,4,1,2,3,199
5,2,4,1,3,200
4,2,5,1,3,201
5,4,1,3,2,202
2,5,1,4,3,203
3,2,1,5,4,204
3,5,1,2,4,205
1,2,5,4,3,206
1,2,4,5,3,207
2,3,4,1,5,208
2,1,4,5,3,209
4,2,5,1,3,210
1,3,2,5,4,211
3,1,2,5,4,212
1,5,4,3,2,213
5,2,3,4,1,214
2,4,5,3,1,215
1,4,2,3,5,216
4,2,3,5,1,217
3,2,1,4,5,218
4,1,2,3,5,219
4,2,5,1,3,220
3,2,5,1,4,221
2,1,4,5,3,222
3,5,1,2,4,223
5,3,1,4,2,224
5,4,3,2,1,225
1,3,5,2,4,226
4,5,2,3,1,227
2,4,1,3,5,228
1,4,3,5,2,229
3,4,2,1,5,230
4,5,3,1,2,231
5,4,2,1,3,232
1,3,2,4,5,233
5,3,1,4,2,234
1,4,3,2,5,235
1,4,5,2,3,236
2,4,3,5,1,237
4,5,3,2,1,238
5,3,4,1,2,239
2,4,1,5,3,240
2,1,4,3,5,241
2,5,4,3,1,242
2,3,4,5,1,243
5,3,2,1,4,244
3,2,1,4,5,245
3,1,4,5,2,246
2,4,5,3,1,247
5,3,1,4,2,248
3,4,5,2,1,249
1,3,2,5,4,250
3,1,5,4,2,251
2,5,3,1,4,252
5,2,4,1,3,253
2,3,1,4,5,254
2,1,4,5,3,255
5,1,4,3,2,256
5,2,3,4,1,257
3,2,5,4,1,258
4,2,1,5,3,259
2,5,1,4,3,260
4,5,1,2,3,261
5,4,2,3,1,262
3,5,4,1,2,263
5,2,1,4,3,264
4,1,5,2,3,265
3,1,4,5,2,266
4,2,3,5,1,267
2,3,4,1,5,268
2,4,1,5,3,269
2,4,3,5,1,270
1,5,4,3,2,271
3,1,4,5,2,272
3,2,5,4,1,273
3,2,5,4,1,274
5,3,1,2,4,275
1,3,4,5,2,276
1,2,5,4,3,277
3,1,2,4,5,278
3,5,2,4,1,279
4,2,3,5,1,280
1,4,5,3,2,281
2,4,5,3,1,282
2,4,5,1,3,283
3,2,4,5,1,284
2,5,1,3,4,285
4,3,1,5,2,286
3,2,1,5,4,287
3,5,2,4,1,288
3,5,4,1,2,289
1,4,5,3,2,290
1,4,2,3,5,291
5,4,2,1,3,292
5,3,2,1,4,293
2,3,5,1,4,294
3,2,5,4,1,295
5,1,3,4,2,296
4,3,5,1,2,297
4,2,3,1,5,298
3,4,5,2,1,299
4,1,2,3,5,300
